Division,MatchDate,HomeTeam,AwayTeam,FTResult,EloDiff,FormDiff,H2H,IsDerby
D1,2000-09-09,Munich 1860,Schalke 04,0,21.74000000000001,-2.3999999999999986,0.0,0
D1,2000-09-09,Bochum,Hamburg,2,-109.32999999999993,-1.4000000000000004,0.0,0
D1,2000-09-09,Stuttgart,Bayern Munich,1,-221.6199999999999,-7.599999999999999,0.0,0
D1,2000-09-09,Werder Bremen,Dortmund,2,16.6099999999999,-3.8,0.0,0
D1,2000-09-09,Wolfsburg,Hertha,1,0.9800000000000182,-3.8,0.0,0
E1,2000-09-09,Birmingham,Sheffield United,1,105.79999999999995,2.1999999999999993,0.0,0
E1,2000-09-09,Blackburn,Nottm Forest,1,24.25999999999999,1.0,0.0,0
E1,2000-09-09,Crewe,Norwich,0,-22.059999999999945,3.4000000000000004,0.0,0
E1,2000-09-09,Crystal Palace,Burnley,2,31.3900000000001,-1.4000000000000008,0.0,0
E1,2000-09-09,Grimsby,Gillingham,1,-5.120000000000118,-4.0,0.0,0
E1,2000-09-09,Huddersfield,Bolton,2,-100.27999999999997,-6.199999999999999,0.0,0
E1,2000-09-09,Portsmouth,Watford,2,-88.05999999999995,-5.0,0.0,0
E1,2000-09-09,QPR,Preston,0,70.66000000000008,-1.5999999999999996,0.0,0
E1,2000-09-09,Sheffield Weds,Wimbledon,2,54.69999999999982,2.000000000000001,0.0,0
E1,2000-09-09,Stockport,West Brom,0,14.6099999999999,-3.4,0.0,0
E1,2000-09-09,Wolves,Tranmere,2,97.82999999999993,-0.7999999999999998,0.0,0
SP1,2000-09-09,Barcelona,Malaga,1,150.94999999999982,0.0,0.0,0
SP1,2000-09-09,La Coruna,Ath Bilbao,1,66.27999999999997,0.0,0.0,0
SP1,2000-09-09,Real Madrid,Valencia,1,-22.38000000000011,0.0,0.0,0
SP1,2000-09-09,Sociedad,Santander,0,22.460000000000036,0.0,0.0,0
SP1,2000-09-09,Zaragoza,Espanol,2,61.88999999999987,0.0,0.0,0
F1,2000-09-09,Auxerre,Nantes,0,-45.049999999999955,-1.0,0.0,0
F1,2000-09-09,Bordeaux,Guingamp,2,145.08999999999992,1.4000000000000004,0.0,0
F1,2000-09-09,Lille,Troyes,2,71.32999999999993,-1.3999999999999995,0.0,0
F1,2000-09-09,Lyon,Lens,1,-57.1400000000001,-3.8000000000000007,0.0,0
F1,2000-09-09,Paris SG,St Etienne,1,87.5,-1.0,0.0,0
F1,2000-09-09,Rennes,Metz,2,-18.169999999999845,-1.5999999999999996,0.0,0
F1,2000-09-09,Sedan,Monaco,1,-134.71000000000004,-0.6000000000000005,0.0,0
F1,2000-09-09,Strasbourg,Bastia,2,-66.01999999999998,-4.199999999999999,0.0,0
F1,2000-09-10,Toulouse,Marseille,1,-130.99,-4.6,0.0,0
E1,2000-09-10,Fulham,Barnsley,1,-26.710000000000036,6.399999999999999,0.0,0
D1,2000-09-10,Cottbus,Ein Frankfurt,1,-109.48000000000002,-7.6,0.0,0
D1,2000-09-10,Hansa Rostock,Freiburg,0,-27.329999999999927,-6.2,0.0,0
SP1,2000-09-10,Las Palmas,Alaves,2,-120.35000000000014,0.0,0.0,0
SP1,2000-09-10,Mallorca,Valladolid,0,34.669999999999845,0.0,0.0,0
SP1,2000-09-10,Numancia,Oviedo,1,-33.320000000000164,0.0,0.0,0
SP1,2000-09-10,Osasuna,Celta,2,-194.41999999999985,0.0,0.0,0
SP1,2000-09-10,Villarreal,Vallecano,2,-63.27999999999997,0.0,0.0,0
E1,2000-09-12,Birmingham,Preston,1,129.69000000000005,3.1999999999999984,0.0,0
E1,2000-09-12,Blackburn,Watford,2,9.180000000000064,-0.7999999999999989,0.0,0
E1,2000-09-12,Crewe,West Brom,2,-2.1700000000000728,-2.5999999999999996,0.0,0
E1,2000-09-12,Crystal Palace,Barnsley,1,-98.15000000000009,-2.6,0.0,0
E1,2000-09-12,Fulham,Burnley,1,102.83000000000015,5.799999999999999,0.0,0
E1,2000-09-12,Grimsby,Bolton,2,-193.98000000000002,-7.199999999999999,0.0,0
E1,2000-09-12,Huddersfield,Wimbledon,2,-50.63000000000011,-3.2,0.0,0
E1,2000-09-12,Portsmouth,Tranmere,1,-8.370000000000118,-3.3999999999999995,0.0,0
E1,2000-09-12,Stockport,Norwich,2,-5.279999999999973,1.0000000000000004,0.0,0
E1,2000-09-12,Wolves,Sheffield United,0,91.01999999999998,-2.6,0.0,0
E1,2000-09-13,QPR,Gillingham,0,105.58999999999992,0.40000000000000036,0.0,0
